gene,pt214_mTEC.hi_new_Aligned.out.bam,pt214_mTEC.lo_new_Aligned.out.bam,pt221_mTEC.hi_new_Aligned.out.bam,pt221_mTEC.lo_new_Aligned.out.bam,pt226_mTEC.hi_new_Aligned.out.bam,pt226_mTEC.lo_new_Aligned.out.bam
ENSG00000162613.16,26092,24973,10226,11492,9459,11862
ENSG00000162614.18,290,1756,104,1106,114,669
ENSG00000162616.9,14877,21794,3244,8194,2627,9830
ENSG00000162618.15,5501,204,72,15,169,28
ENSG00000162620.16,465,167,99,82,52,45
ENSG00000162621.6,58,113,45,374,51,182
ENSG00000162623.16,24231,6313,17043,4191,8503,3249
ENSG00000162624.14,15,0,2,0,0,4
ENSG00000162627.17,1516,1477,1032,851,937,759
ENSG00000162630.6,50,62,33,89,8,54
ENSG00000162631.18,2928,2077,1646,1257,905,1102
ENSG00000162636.16,5510,5008,3843,2739,2522,2149
ENSG00000162639.16,646,803,483,549,419,428
ENSG00000162641.20,149,329,102,484,91,214
ENSG00000162642.14,2651,2637,1619,1494,1287,1535
ENSG00000162643.13,419,197,153,106,166,57
ENSG00000162645.13,21702,28725,3845,7369,4964,10597
ENSG00000162650.16,2210,2587,1595,1698,1144,1366
ENSG00000162654.9,24405,17631,7475,6279,9029,9651
ENSG00000162664.17,9678,8946,4199,5078,3871,5009
ENSG00000162669.16,585,803,114,261,191,388
ENSG00000162670.11,19,0,6,9,3,17
ENSG00000162676.12,447,707,174,448,198,137
ENSG00000162685.6,0,0,0,0,0,0
ENSG00000162687.18,1035,1979,168,633,149,695
ENSG00000162688.17,6883,6586,3128,3678,3028,3163
ENSG00000162692.12,80173,29640,32894,18436,33637,17973
ENSG00000162694.14,4749,4750,1575,2216,1668,2408
ENSG00000162695.12,13362,8742,3551,3207,4327,4053
ENSG00000162699.5,1,0,0,0,2,0
ENSG00000162702.8,7325,3884,3274,1987,2592,1807
ENSG00000162704.16,13495,7939,7941,5232,6668,3956
ENSG00000162706.13,903,160,1071,405,825,230
ENSG00000162711.17,338,16,125,17,216,4
ENSG00000162714.12,6370,8696,4643,5653,3294,4662
ENSG00000162722.9,49,371,11,72,5,22
ENSG00000162723.10,42,0,11,1,22,1
ENSG00000162727.3,0,0,0,0,0,0
ENSG00000162728.5,199,40,90,24,91,24
ENSG00000162729.14,2643,2717,2062,2154,2003,1702
ENSG00000162733.19,2146,831,896,435,822,784
ENSG00000162734.12,17351,10249,9626,5581,8994,6207
ENSG00000162735.18,5185,5502,2721,2734,2190,2514
ENSG00000162736.17,10116,10778,5666,5966,4767,5161
ENSG00000162738.6,18236,16277,14169,10394,11114,10399
ENSG00000162739.14,75,0,21,10,17,7
ENSG00000162745.10,1485,5331,633,2548,338,1378
ENSG00000162746.14,210,35,289,56,250,29
ENSG00000162747.11,224,136,123,32,62,12
ENSG00000162753.13,134,20,86,9,92,8
ENSG00000162755.14,320,280,248,262,187,152
ENSG00000162757.4,10585,7012,2953,2176,3873,2462
ENSG00000162761.14,75,0,31,0,45,2
ENSG00000162763.3,3,8,0,0,13,0
ENSG00000162769.13,5948,6192,2873,2835,2465,3267
ENSG00000162771.8,118,139,87,126,62,126
ENSG00000162772.17,225864,273413,94084,110704,83377,121852
ENSG00000162775.16,3412,3168,1766,1480,1556,1293
ENSG00000162777.17,7763,4000,4407,1668,3884,1780
ENSG00000162779.22,109,31,91,65,51,12
ENSG00000162782.16,559,262,388,344,176,90
ENSG00000162783.11,22229,30088,9953,10835,12968,14488
ENSG00000162804.14,1632,1926,821,991,538,970
ENSG00000162813.18,3230,2728,1559,1263,1526,1220
ENSG00000162814.11,214,163,143,139,106,93
ENSG00000162817.7,1626,542,780,586,921,309
ENSG00000162819.12,6640,5539,3003,2365,2561,2373
ENSG00000162825.16,1039,577,1226,478,703,390
ENSG00000162836.12,2465,3943,1184,1635,1139,2386
ENSG00000162840.4,0,0,4,3,4,1
ENSG00000162843.17,62,28,13,1,10,10
ENSG00000162849.16,4831,5293,551,1487,1009,1938
ENSG00000162851.8,1524,1441,922,852,878,814
ENSG00000162852.14,4200,4781,2048,2152,1640,1986
ENSG00000162869.16,5513,5579,3170,3593,2966,3681
ENSG00000162873.14,317,254,185,475,253,187
ENSG00000162877.13,68,120,14,9,21,6
ENSG00000162878.13,26972,16898,24622,10534,17505,10620
ENSG00000162881.6,1073,1380,883,818,727,865
ENSG00000162882.15,1688,1720,1024,798,1116,1107
ENSG00000162885.13,4262,4086,1598,2132,1399,2189
ENSG00000162888.4,527,242,372,134,292,148
ENSG00000162889.10,27773,21650,17407,13262,16697,12969
ENSG00000162891.10,198,91,59,66,80,138
ENSG00000162892.16,131,126,74,23,51,25
ENSG00000162894.12,247,312,85,64,90,51
ENSG00000162896.6,2510,46,1901,30,1293,31
ENSG00000162897.16,214,0,131,1,179,0
ENSG00000162909.18,35734,43135,12141,16946,12745,18705
ENSG00000162910.19,1404,1646,987,1014,864,1005
ENSG00000162913.10,436,877,149,243,124,337
ENSG00000162923.16,25973,26464,8990,10307,8585,11774
ENSG00000162924.14,33313,19631,6624,4620,7534,6669
ENSG00000162927.14,3343,2066,981,732,1353,1200
ENSG00000162928.9,3795,3231,1820,1711,1680,1620
ENSG00000162929.14,1345,887,729,798,532,463
ENSG00000162931.12,87,140,31,65,34,71
ENSG00000162944.11,501,446,165,232,157,193
ENSG00000162946.22,1333,1823,304,626,344,606
ENSG00000162947.5,0,0,1,2,0,1
ENSG00000162949.16,240,10,137,5,140,0
ENSG00000162951.11,6,0,8,2,8,0
ENSG00000162959.13,1109,1003,566,582,542,495
ENSG00000162961.14,3531,3491,2571,2209,2351,2066
ENSG00000162971.11,2794,2195,1337,1089,961,1243
ENSG00000162972.10,971,922,468,450,444,502
ENSG00000162975.5,377,121,891,289,300,71
ENSG00000162976.13,1043,1192,382,566,358,628
ENSG00000162980.17,4833,4566,1633,1974,1495,1653
ENSG00000162981.14,10993,11028,6922,4572,8392,6652
ENSG00000162989.5,36,0,4,17,6,0
ENSG00000162992.3,59,154,156,1310,88,395
ENSG00000162994.16,2545,3704,978,1297,815,1623
ENSG00000162997.15,131,157,71,134,36,80
ENSG00000162998.5,789,923,379,946,326,670
ENSG00000162999.13,722,752,256,264,271,292
ENSG00000163001.11,4412,4062,2493,2388,2084,2246
ENSG00000163002.13,1908,2409,816,884,836,1234
ENSG00000163006.12,881,930,336,462,321,379
ENSG00000163012.4,24,20,4,4,4,0
ENSG00000163013.11,1067,1448,1063,1097,727,1015
ENSG00000163016.10,79,77,60,100,23,52
ENSG00000163017.14,237,51,155,62,186,13
ENSG00000163026.12,705,948,385,499,312,423
ENSG00000163029.16,7357,7242,2670,4020,2380,2860
ENSG00000163032.12,308,884,286,593,324,948
ENSG00000163040.14,1411,1748,1608,1334,1504,1141
ENSG00000163041.12,21645,19805,16087,14670,14431,12170
ENSG00000163046.15,1,0,0,3,2,0
ENSG00000163050.17,2861,4842,1711,2631,1520,2593
ENSG00000163053.11,1587,964,276,618,455,462
ENSG00000163060.8,172,13,34,29,78,12
ENSG00000163064.7,364,9,193,13,162,7
ENSG00000163069.12,5553,5447,2919,3246,2266,3021
ENSG00000163071.11,3593,2039,2014,1242,1883,1362
ENSG00000163072.15,1206,97,114,39,137,36
ENSG00000163075.13,125,79,49,102,49,22
ENSG00000163081.3,22,0,7,0,4,0
ENSG00000163082.10,20256,7228,13630,6226,11896,3252
ENSG00000163083.6,831,114,298,223,330,61
ENSG00000163092.20,97,89,18,35,19,37
ENSG00000163093.12,1285,1785,621,1142,592,1182
ENSG00000163098.6,0,0,0,0,0,0
ENSG00000163104.17,7897,8336,2799,3752,2449,3547
ENSG00000163106.11,30,26,7,7,11,5
ENSG00000163110.15,9148,5515,4828,3391,3705,2886
ENSG00000163114.6,7,0,0,0,0,0
ENSG00000163116.10,37,12,4,19,17,15
ENSG00000163121.10,6823,1993,3859,1016,3709,1165
ENSG00000163125.15,8964,10617,5137,4928,4033,4816
ENSG00000163126.15,1555,2381,1102,1116,898,1050
ENSG00000163131.11,19262,2136,6688,561,8378,1070
ENSG00000163132.8,645,332,147,170,139,192
ENSG00000163138.19,1914,1943,923,1111,627,908
ENSG00000163141.20,1647,378,1303,92,1309,93
ENSG00000163145.12,80,140,21,22,15,49
ENSG00000163154.6,132,49,60,23,31,15
ENSG00000163155.12,1364,1302,959,636,503,491
ENSG00000163156.12,1382,1682,1170,1128,977,958
ENSG00000163157.15,198,230,91,118,111,106
ENSG00000163159.13,2241,2221,1725,1734,1540,1195
ENSG00000163161.14,6647,7668,4379,4983,3877,4687
ENSG00000163162.9,7774,6141,3637,2533,3452,2948
ENSG00000163166.15,9260,7721,3552,3123,3693,3296
ENSG00000163170.12,324,292,221,201,200,209
ENSG00000163171.8,10994,7445,5357,3958,4461,4623
ENSG00000163191.6,25302,15976,19693,8349,19625,9036
ENSG00000163202.5,106,0,68,0,95,0
ENSG00000163206.6,8,0,8,0,15,0
ENSG00000163207.7,5618,10,4176,64,5826,70
ENSG00000163209.15,1048,9,382,17,1125,54
ENSG00000163214.21,3431,3790,1848,1973,1513,1743
ENSG00000163216.7,859,0,189,5,829,14
ENSG00000163217.2,305,0,240,17,116,6
ENSG00000163218.15,2262,105,2557,384,2301,263
ENSG00000163219.12,1275,985,437,425,456,562
ENSG00000163220.11,12820,8207,10808,4859,11438,1250
ENSG00000163221.9,755,1114,566,712,85,129
ENSG00000163235.16,2462,263,2107,449,1760,310
ENSG00000163239.12,1544,2222,408,977,400,1213
ENSG00000163249.12,9168,9421,1695,2534,2687,4246
ENSG00000163251.4,7636,8005,2980,3265,2958,3410
ENSG00000163254.5,2,0,4,0,4,0
ENSG00000163257.11,10116,10365,4143,5137,3085,4483
ENSG00000163263.7,14,0,10,2,20,5
ENSG00000163273.4,808,1386,599,695,446,824
ENSG00000163281.12,3103,3118,1485,1568,1382,2028
ENSG00000163283.7,181,11,97,6,151,7
ENSG00000163285.8,148,302,6,59,10,32
ENSG00000163286.9,672,0,355,1,514,0
ENSG00000163288.14,71,34,20,8,19,17
ENSG00000163291.14,15493,5009,9963,2613,9309,3108
ENSG00000163293.12,2761,1580,443,298,1386,725
ENSG00000163295.5,488,0,213,0,284,0
ENSG00000163297.17,3097,4057,1346,1486,882,1427
ENSG00000163312.11,2925,3600,1098,1398,972,1376
ENSG00000163319.11,1620,1704,774,817,709,901
ENSG00000163320.11,18904,19790,7605,8951,6711,8450
ENSG00000163322.14,2045,2901,878,1075,819,1346
ENSG00000163328.13,1253,1760,388,561,346,677
ENSG00000163331.11,904,104,607,329,617,96
ENSG00000163344.6,2832,3201,2238,1972,2194,2019
ENSG00000163346.17,10613,13853,10121,10177,6645,6718
ENSG00000163347.6,33034,39391,9958,16133,6951,12075
ENSG00000163348.4,6425,7271,2903,3814,3010,4111
ENSG00000163349.22,18451,15070,7836,7128,7937,8138
ENSG00000163352.5,0,16,0,5,4,5
ENSG00000163354.15,1237,1147,768,797,785,926
ENSG00000163357.10,358,281,287,252,228,294
ENSG00000163359.16,29415,44027,14113,27669,8642,25067
ENSG00000163362.11,5013,1965,6058,1689,4453,1106
ENSG00000163364.10,49,0,4,3,3,0
ENSG00000163374.19,13246,13313,6824,5986,7250,6897
ENSG00000163376.11,850,865,298,294,274,305
ENSG00000163377.16,86,7,21,0,9,0
ENSG00000163378.14,9924,8640,4063,3833,3814,5474
ENSG00000163380.15,105,456,24,341,43,169
ENSG00000163382.12,1638,1955,1542,1515,1652,1278
ENSG00000163389.12,17605,5077,7801,2825,6898,2771
ENSG00000163393.13,748,805,259,313,219,253
ENSG00000163394.6,80,104,75,181,72,93
ENSG00000163395.17,1387,377,6866,4181,1341,379
ENSG00000163399.16,52220,54010,27928,25254,22823,25327
ENSG00000163406.11,1374,861,600,508,438,452
ENSG00000163412.13,3750,3337,1978,1791,2076,1758
ENSG00000163421.9,54,56,23,20,12,6
ENSG00000163424.9,0,4,0,0,1,0
ENSG00000163428.4,9067,9450,3422,4212,2973,4279
ENSG00000163430.12,25979,37753,5876,11457,5446,15721
ENSG00000163431.13,407,546,178,577,188,462
ENSG00000163435.16,15783,4136,11859,3188,12686,1865
ENSG00000163440.12,6,0,2,3,0,0
ENSG00000163444.12,4529,5187,3441,3527,3019,3087
ENSG00000163449.11,56,47,70,192,52,52
ENSG00000163453.11,9735,8671,4986,6958,3638,7124
ENSG00000163462.18,446,680,298,514,224,279
ENSG00000163463.11,1843,2252,1105,1212,1020,970
ENSG00000163464.8,71,29,84,52,18,10
ENSG00000163466.16,26752,18422,18361,12935,19461,13864
ENSG00000163467.11,94,42,90,54,61,52
ENSG00000163468.15,15293,10965,10550,7591,9908,5439
ENSG00000163472.19,1221,1177,957,665,1156,708
ENSG00000163479.14,7587,8152,4893,4890,4430,4380
ENSG00000163481.8,1041,1343,924,907,738,799
ENSG00000163482.12,8852,11640,5102,5734,3183,4185
ENSG00000163485.17,197,94,336,282,185,91
ENSG00000163491.16,169,171,92,120,86,87
ENSG00000163492.15,263,420,656,187,423,80
ENSG00000163497.3,15,0,26,0,25,0
ENSG00000163499.12,52,5,34,20,49,6
ENSG00000163501.7,35,13,32,5,22,9
ENSG00000163507.14,1799,1455,859,538,841,611
ENSG00000163508.13,76,36,42,1,30,0
ENSG00000163510.14,5430,5433,2329,2205,2039,2726
ENSG00000163512.14,8140,7664,2632,2865,2980,3604
ENSG00000163513.19,13068,7835,1195,2976,1341,3381
ENSG00000163515.6,76,11,88,7,50,0
ENSG00000163516.14,5951,6557,3955,4774,2645,3250
ENSG00000163517.15,2255,2498,1470,1296,1272,1292
ENSG00000163518.11,185,0,59,0,55,0
ENSG00000163519.14,262,295,89,121,71,45
ENSG00000163520.14,1224,1034,683,519,605,1191
ENSG00000163521.16,1906,1929,1093,824,991,981
ENSG00000163527.10,24848,25615,9966,12870,9583,13445
ENSG00000163528.13,870,961,495,494,485,488
ENSG00000163530.4,20,0,6,0,3,0
ENSG00000163531.15,1978,501,730,254,705,186
ENSG00000163534.15,197,26,54,8,43,1
ENSG00000163535.18,1480,865,668,392,834,480
ENSG00000163536.12,888,769,226,471,221,474
ENSG00000163539.17,9781,10998,3387,4935,3186,4181
ENSG00000163541.12,5287,4775,3316,2785,3005,2666
ENSG00000163545.10,15018,9868,6284,4493,6696,3530
ENSG00000163554.15,473,3800,92,269,85,182
ENSG00000163558.13,14656,15223,5183,6601,5657,8520
ENSG00000163563.8,692,616,526,566,118,137
ENSG00000163564.15,73,48,9,1,16,0
ENSG00000163565.18,53640,64393,14621,20669,18704,34253
ENSG00000163568.15,422,0,176,15,164,38
ENSG00000163576.18,182,166,106,115,78,74
ENSG00000163577.8,827,716,424,330,355,255
ENSG00000163581.14,47,0,2,0,14,0
ENSG00000163584.18,2545,2898,1532,1337,1478,1295
ENSG00000163586.10,57,0,19,5,55,6
ENSG00000163590.14,4971,4692,2881,3272,2293,2251
ENSG00000163596.16,2435,2853,489,1392,569,1262
ENSG00000163597.15,15290,11380,9189,5884,8497,5843
ENSG00000163599.17,74,22,43,8,28,1
ENSG00000163600.13,363,364,101,214,119,94
ENSG00000163602.10,21757,16556,8406,6429,9915,7743
ENSG00000163605.15,20817,17473,7293,7279,7497,7789
ENSG00000163606.11,109,10,59,27,35,11
ENSG00000163607.17,1653,1514,658,571,592,596
ENSG00000163608.15,11262,8820,5046,4345,4301,4352
ENSG00000163611.11,2532,2999,987,1131,896,1161
ENSG00000163612.10,11,12,0,3,1,3
ENSG00000163617.11,3365,3695,1942,1857,1582,2087
ENSG00000163618.18,2412,172,1530,161,1668,65
ENSG00000163623.9,41,0,9,1,27,1
ENSG00000163624.6,5264,4342,2570,2183,2583,1786
ENSG00000163625.15,14844,14243,4283,5641,3988,6065
ENSG00000163626.16,1486,1526,933,843,748,792
ENSG00000163629.13,27465,22788,12910,9218,11689,12409
ENSG00000163630.11,113,0,39,1,32,0
ENSG00000163631.17,350,183,290,238,374,298
ENSG00000163632.14,55,74,17,14,6,24
ENSG00000163633.12,123,140,69,106,58,138
ENSG00000163634.12,2913,2313,1789,1629,1721,1548
ENSG00000163635.18,7570,7066,2459,2329,2452,2900
ENSG00000163636.10,10571,8928,4769,4541,4918,5355
ENSG00000163637.13,2913,2500,867,1179,926,1787
ENSG00000163638.13,4860,1323,1101,422,1115,711
ENSG00000163644.15,8808,6120,4378,2613,4160,3582
ENSG00000163645.15,28,33,23,30,11,23
ENSG00000163646.11,5,16,4,14,3,5
ENSG00000163655.16,8829,11128,4340,5258,3777,5445
ENSG00000163659.13,28820,33384,8509,12608,10244,15823
ENSG00000163660.11,147245,195363,39169,56908,38648,76323
ENSG00000163661.4,3153,2236,815,1024,702,695
ENSG00000163666.10,212,126,105,95,128,79
ENSG00000163673.7,162,34,85,277,104,78
ENSG00000163681.15,11458,10596,6794,5868,4467,4892
ENSG00000163682.16,34303,42099,25243,28256,24423,30438
ENSG00000163683.12,10521,6156,6189,3487,5224,3651
ENSG00000163684.11,3598,3888,2292,2077,1676,1854
ENSG00000163686.15,2769,2308,3798,2507,1788,1611
ENSG00000163687.14,1786,854,2429,762,909,253
ENSG00000163689.20,389,216,313,160,232,85
ENSG00000163694.15,11843,5790,7616,3229,7238,3194
ENSG00000163697.17,34835,47632,3825,15800,7139,24548
ENSG00000163701.19,640,511,583,573,532,371
ENSG00000163702.20,4142,5469,2404,2766,1874,2208
ENSG00000163703.18,3045,3354,2037,2450,1437,1445
ENSG00000163704.12,1041,923,819,672,521,412
ENSG00000163705.13,221,174,109,75,122,59
ENSG00000163710.9,488,7,383,101,199,70
ENSG00000163714.18,25344,22344,10648,10341,10318,11734
ENSG00000163719.19,3380,2934,2126,1941,1975,1841
ENSG00000163728.11,10861,11587,3809,5479,2264,4552
ENSG00000163734.4,7453,5135,3697,2323,4066,2607
ENSG00000163735.7,2985,145,1572,42,1573,58
ENSG00000163736.4,410,0,183,0,176,0
ENSG00000163737.4,4,0,8,1,15,0
ENSG00000163738.18,1471,1315,490,636,417,542
ENSG00000163739.5,27805,6691,8457,3232,4841,1854
ENSG00000163743.13,4984,4203,1801,1647,1612,1747
ENSG00000163746.11,175,74,37,41,62,73
ENSG00000163749.17,118,100,74,148,54,97
ENSG00000163751.4,92,38,27,23,44,63
ENSG00000163754.17,3704,2386,3066,1995,2760,1703
ENSG00000163755.9,2561,2914,977,1240,983,1181
ENSG00000163762.7,1577,15,15,5,68,6
ENSG00000163781.14,6358,6884,3393,3355,3196,3229
ENSG00000163785.12,8770,11036,3378,4909,3180,6165
ENSG00000163788.14,4582,4180,2051,2235,1880,2039
ENSG00000163792.6,86,17,47,4,47,7
ENSG00000163793.13,109,14,71,55,63,13
ENSG00000163794.6,143,203,94,115,99,114
ENSG00000163795.14,1903,1360,1653,1383,1635,1015
ENSG00000163798.13,4304,4876,2124,2041,1979,2280
ENSG00000163803.13,1886,2071,369,730,550,1161
ENSG00000163806.16,4815,4146,2273,2076,1858,1776
ENSG00000163807.6,757,673,496,469,460,391
ENSG00000163808.17,1035,851,873,424,973,278
ENSG00000163810.12,628,25,157,9,446,21
ENSG00000163811.12,7177,5817,3302,3007,3576,3216
ENSG00000163812.15,6966,5560,3945,2941,3322,2698
ENSG00000163814.8,1270,901,526,727,697,504
ENSG00000163815.6,1076,319,225,214,313,371
ENSG00000163817.16,189,164,73,82,43,55
ENSG00000163818.17,4007,3580,2119,2237,1638,1931
ENSG00000163820.15,2533,3390,2190,1544,1783,1577
ENSG00000163823.4,95,20,40,4,23,2
ENSG00000163825.4,47,46,4,10,11,17
ENSG00000163827.13,2935,5876,405,2321,674,3310
ENSG00000163832.16,1399,1551,944,967,955,999
ENSG00000163833.8,94,5,25,4,21,2
ENSG00000163840.10,26854,23781,10964,10212,10697,12067
ENSG00000163848.19,9712,11076,3377,4218,2947,4644
ENSG00000163864.17,1288,1540,1696,584,1267,723
ENSG00000163866.9,2100,1679,1231,963,1324,845
ENSG00000163867.17,3413,3852,1624,1806,1358,1828
ENSG00000163870.16,2019,2443,1334,1479,1181,1342
ENSG00000163872.16,7948,9638,3472,5225,3339,5562
ENSG00000163873.10,176,11,73,45,64,2
ENSG00000163874.11,32996,25628,16320,11280,20461,13238
ENSG00000163875.15,6038,5316,4008,3771,3451,2966
ENSG00000163877.11,2522,1973,1633,1335,1646,1204
ENSG00000163879.11,1386,1323,1538,2111,983,938
ENSG00000163882.9,4917,5217,3139,3104,2978,2872
ENSG00000163884.4,140,378,49,158,43,167
ENSG00000163885.12,131,116,21,35,42,52
ENSG00000163888.4,17,8,40,41,36,11
ENSG00000163898.10,957,100,553,28,553,35
ENSG00000163900.11,3630,4798,1844,1704,1640,1768
ENSG00000163902.12,11534,8223,8164,5591,6874,4127
ENSG00000163904.13,6753,7406,3193,3274,2882,3501
ENSG00000163909.8,1221,867,1158,656,460,209
ENSG00000163913.11,4755,6354,2785,3130,2450,2949
ENSG00000163914.5,90,60,24,9,49,36
ENSG00000163915.7,20,2,1,6,6,1
ENSG00000163918.10,1636,1844,1575,1392,1362,1288
ENSG00000163923.10,90,19,107,60,78,24
ENSG00000163930.10,8415,8528,6861,6281,5906,4846
ENSG00000163931.16,6950,6113,7452,4778,6380,2857
ENSG00000163932.15,4227,2601,2472,1648,2327,1037
ENSG00000163933.10,1749,1661,904,1022,790,832
ENSG00000163935.14,3229,2139,2221,1234,1719,1024
ENSG00000163938.17,19819,14453,8333,6720,9218,7115
ENSG00000163939.18,17539,12503,8115,6238,7750,6156
ENSG00000163945.18,13866,6327,10778,3754,6063,3192
ENSG00000163946.13,17200,16707,6907,6960,6526,7911
ENSG00000163947.11,9159,6080,5147,2679,3658,2333
ENSG00000163950.13,4205,5192,2835,2597,2427,2421
ENSG00000163956.13,10392,12407,6587,6566,5601,5550
ENSG00000163958.14,39,55,11,8,26,22
ENSG00000163959.10,1541,995,620,427,818,480
ENSG00000163960.12,15279,15234,6201,6041,5305,6363
ENSG00000163961.4,3083,3081,2177,1726,1955,1690
ENSG00000163964.15,2317,1732,1567,1124,1990,1160
ENSG00000163975.12,2029,1825,1694,1157,1804,1139
ENSG00000163982.5,330,0,171,6,117,0
ENSG00000163993.7,1513,227,799,133,1879,33
ENSG00000163995.20,1334,1408,1231,1025,827,615
ENSG00000164002.11,483,547,354,319,269,321
ENSG00000164007.11,1666,1491,949,551,1094,883
ENSG00000164008.16,879,929,460,550,361,480
ENSG00000164010.15,2064,3038,890,1112,780,1361
ENSG00000164011.18,533,883,382,450,242,397
ENSG00000164022.17,9859,9204,4045,3908,3587,4329
ENSG00000164023.14,7352,3894,2767,1833,2437,1753
ENSG00000164024.12,6332,6110,3389,3393,3230,3687
ENSG00000164031.17,6912,6236,2492,2575,1967,2771
ENSG00000164032.12,12367,21587,7754,9133,8000,9722
ENSG00000164035.10,2961,194,71,58,170,133
ENSG00000164037.17,667,412,351,279,362,320
ENSG00000164038.16,4277,4931,1017,1924,1325,2656
ENSG00000164039.15,6134,7868,2187,2756,1883,3693
ENSG00000164040.18,6604,7973,3804,4104,3119,3865
ENSG00000164045.12,519,578,452,375,426,173
ENSG00000164047.6,610,1088,746,727,162,106
ENSG00000164048.14,2125,2982,1075,1458,638,1333
ENSG00000164049.14,174,275,50,132,49,115
ENSG00000164050.13,22883,33400,15282,17898,10897,13386
ENSG00000164051.14,1231,1645,1081,974,973,828
ENSG00000164053.21,1662,2278,978,1052,949,1149
ENSG00000164054.15,14079,17208,7947,8412,8050,8994
ENSG00000164056.11,4376,5678,1012,2644,654,2487
ENSG00000164061.5,565,483,729,765,382,513
ENSG00000164062.13,4641,5018,4041,3310,3470,2492
ENSG00000164066.13,6701,9311,1682,2956,1495,3458
ENSG00000164068.16,4179,4793,2905,2907,2633,2095
ENSG00000164070.12,10169,5965,4077,2439,4533,3922
ENSG00000164073.10,3677,3985,1750,2024,1516,1931
ENSG00000164074.15,3788,3981,1404,1619,1203,1850
ENSG00000164076.17,228,37,264,118,147,48
ENSG00000164077.14,639,771,532,531,465,331
ENSG00000164078.13,17646,7994,20561,7821,14807,7818
ENSG00000164080.13,6792,5980,3671,3643,3387,3378
ENSG00000164081.12,2194,2443,1580,1601,1349,1402
ENSG00000164082.15,270,284,79,108,126,241
ENSG00000164086.10,2348,1601,2184,1088,2189,807
ENSG00000164087.8,476,377,509,200,525,142
ENSG00000164088.18,1660,2211,900,1186,858,1329
ENSG00000164089.9,242,12,45,4,215,8
ENSG00000164091.12,17654,18168,8826,10006,7845,8531
ENSG00000164093.17,56,359,38,267,33,113
ENSG00000164096.13,13749,14207,6021,7232,5534,6425
ENSG00000164099.3,3953,1750,2599,788,2133,1170
ENSG00000164100.9,196,388,60,164,62,113
ENSG00000164104.12,10092,13027,8155,6728,8655,6284
ENSG00000164105.4,1241,1107,669,728,686,615
ENSG00000164106.8,44,2,23,18,14,14
ENSG00000164107.8,25,18,2,5,4,38
ENSG00000164109.14,1340,799,1017,528,1106,361
ENSG00000164111.15,29162,25219,11587,9899,12450,11952
ENSG00000164112.13,47,32,20,8,21,8
ENSG00000164113.11,68,82,12,116,13,43
ENSG00000164114.19,4074,3081,1702,1897,1312,1474
ENSG00000164116.16,1366,736,653,349,605,187
ENSG00000164117.14,2431,2106,997,939,1001,1115
ENSG00000164118.13,4392,5044,1507,1617,1483,2123
ENSG00000164120.14,2933,2571,651,803,977,1087
ENSG00000164122.9,86,1897,17,617,19,325
ENSG00000164123.7,23,19,9,4,5,6
ENSG00000164124.11,981,260,382,119,405,148
ENSG00000164125.15,3082,451,75,98,152,240
ENSG00000164128.7,854,852,275,124,240,225
ENSG00000164129.12,30,0,30,1,3,1
ENSG00000164134.13,12099,9266,4848,4184,4446,4100
ENSG00000164136.17,7876,4264,5558,3263,2953,2772
ENSG00000164142.16,10654,10115,4740,3856,4026,4464
ENSG00000164144.16,5212,4464,2778,2320,2021,2320
ENSG00000164151.12,10637,11029,3993,4359,3937,4914
ENSG00000164161.10,171,164,79,86,73,62
ENSG00000164162.14,1156,873,444,449,423,450
ENSG00000164163.11,12565,8991,4401,3820,4544,3848
ENSG00000164164.17,49163,37080,10376,12174,14327,17688
ENSG00000164167.12,2053,1882,1250,1139,1034,1091
ENSG00000164168.8,6987,5008,3130,2377,2659,2262
ENSG00000164169.13,1898,2386,862,1058,798,1227
ENSG00000164171.11,24801,24843,7921,8812,5100,10750
ENSG00000164172.19,2753,2946,1580,1677,1405,1712
ENSG00000164175.15,22,69,9,20,18,40
ENSG00000164176.13,622,155,89,31,30,8
ENSG00000164180.13,3896,4966,1633,1827,1258,1759
ENSG00000164181.14,2997,1673,1164,565,1254,638
ENSG00000164182.11,770,967,354,474,449,438
ENSG00000164185.6,766,926,157,345,182,242
ENSG00000164187.7,3209,3529,1153,1264,981,1356
ENSG00000164188.8,103,0,51,33,27,5
ENSG00000164190.19,20360,19675,7755,6750,7275,8467
ENSG00000164197.12,813,446,117,189,198,219
ENSG00000164199.18,4629,4551,1676,3008,1073,2320
ENSG00000164209.17,8481,7578,3455,3570,3035,3704
ENSG00000164211.13,4319,1755,2035,1076,1738,751
ENSG00000164219.10,3344,2927,1320,1350,1327,1234
ENSG00000164220.7,514,472,100,80,108,73
ENSG00000164221.13,246,242,124,357,107,160
ENSG00000164236.12,75441,35541,24773,11792,25347,14343
ENSG00000164237.9,4300,5492,1953,2505,1622,2814
ENSG00000164241.13,641,979,182,408,120,374
ENSG00000164244.20,7519,6837,3511,3548,3188,3340
ENSG00000164251.5,3160,3646,716,1348,994,1954
ENSG00000164252.13,3304,3792,1893,1867,1545,1591
ENSG00000164253.14,4739,3821,1903,1806,2029,1637
ENSG00000164256.10,9,0,2,0,4,1
ENSG00000164258.12,2634,2970,1545,1659,1570,1820
ENSG00000164265.9,32,0,19,0,19,0
ENSG00000164266.10,90,0,29,0,32,5
