ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000131002"	"ENSG00000131002"	chrY	+	19588369	19589612	19589520	19589612	19587209	19587507	0	0,1972,1846	0,15,12	0,1714,1717	0,6,11	1201	50	1	1.0	NA,0.846,0.865	NA,0.922,0.867	-0.039
2	"ENSG00000183878"	"ENSG00000183878"	chrY	-	13358463	13358619	13358463	13358553	13359087	13359222	2	0,21,15	0,3,4	0,20,21	0,7,8	116	50	1	1.0	NA,0.751,0.618	NA,0.552,0.531	0.143
3	"ENSG00000183878"	"ENSG00000183878"	chrY	-	13358463	13358619	13358463	13358553	13359766	13359986	3	0,20,16	0,0,4	0,14,23	0,0,0	116	50	1	1.0	NA,1.0,0.633	NA,1.0,1.0	-0.183
4	"ENSG00000067048"	"ENSG00000067048"	chrY	+	12914883	12915227	12915066	12915227	12914563	12914649	4	0,665,776	0,0,0	0,999,1255	0,1,4	233	50	1	1.0	NA,1.0,1.0	NA,0.995,0.985	0.01
11	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156022313	156022459	156022322	156022459	156021998	156022145	11	0,0,22	2,6,3	1,0,53	12,6,9	59	50	0.679511749009	1.0	0.0,0.0,0.861	0.066,0.0,0.833	-0.013
12	"ENSG00000185515"	"ENSG00000185515"	chrX	+	155073373	155073431	155073376	155073431	155072326	155072343	12	7,12,11	55,46,40	16,4,1	36,33,20	53	50	0.912184334294	1.0	0.107,0.197,0.206	0.295,0.103,0.045	0.022
13	"ENSG00000269335"	"ENSG00000269335"	chrX	+	154558531	154558650	154558534	154558650	154556164	154556376	13	26,9,16	4,7,10	6,9,8	4,7,7	53	50	0.18056681155	0.5201327321593057	0.86,0.548,0.602	0.586,0.548,0.519	0.119
14	"ENSG00000160211"	"ENSG00000160211"	chrX	-	154533575	154533807	154533575	154533669	154534034	154534160	14	7,7,13	154,113,135	20,4,6	120,72,77	188	50	0.105200185132	0.3643249848154521	0.012,0.016,0.025	0.042,0.015,0.02	-0.008
15	"ENSG00000160211"	"ENSG00000160211"	chrX	-	154534337	154534499	154534337	154534496	154535167	154535385	15	17,6,8	175,98,92	34,10,10	45,57,59	53	50	0.000188110311218	0.0038362866897728005	0.084,0.055,0.076	0.416,0.142,0.138	-0.16
16	"ENSG00000102178"	"ENSG00000102178"	chrX	-	154485770	154486083	154485770	154485979	154486227	154486333	16	4,6,4	26,23,22	4,11,3	26,32,21	154	50	0.679706359852	1.0	0.048,0.078,0.056	0.048,0.1,0.044	-0.003
17	"ENSG00000196924"	"ENSG00000196924"	chrX	-	154350030	154351696	154350030	154350207	154351883	154352021	17	21817,11584,12807	4,0,0	30294,11943,15824	10,1,1	1539	50	1	1.0	0.994,1.0,1.0	0.99,0.997,0.998	0.003
18	"ENSG00000196924"	"ENSG00000196924"	chrX	-	154353000	154353221	154353000	154353204	154353295	154353457	18	16,4,4	1089,916,911	15,5,7	1234,811,930	67	50	1	1.0	0.011,0.003,0.003	0.009,0.005,0.006	-0.001
19	"ENSG00000196924"	"ENSG00000196924"	chrX	-	154365135	154365259	154365135	154365257	154365348	154365486	19	1002,729,669	1,1,0	1093,565,585	3,0,0	52	50	1	1.0	0.999,0.999,1.0	0.997,1.0,1.0	0.0
20	"ENSG00000172534"	"ENSG00000172534"	chrX	-	153951840	153952161	153951840	153952158	153952513	153952958	20	11,16,7	68,67,58	3,0,10	103,71,61	53	50	0.000392178693462	0.0064553857955570474	0.132,0.184,0.102	0.027,0.0,0.134	0.086
21	"ENSG00000172534"	"ENSG00000172534"	chrX	-	153952513	153953090	153952513	153952958	153953606	153953770	21	177,50,86	130,89,78	183,78,84	134,76,80	182	50	0.306410410778	0.7205160906503084	0.272,0.134,0.232	0.273,0.22,0.224	-0.026
22	"ENSG00000102032"	"ENSG00000102032"	chrX	-	153942854	153943079	153942854	153943034	153943545	153943718	22	14,10,9	2,0,2	7,15,7	2,0,0	95	50	0.18585506034	0.5305237447927881	0.787,1.0,0.703	0.648,1.0,1.0	-0.053
23	"ENSG00000089820"	"ENSG00000089820"	chrX	-	153913408	153913600	153913408	153913516	153913777	153913879	23	242,97,167	7,3,0	293,252,214	0,3,1	134	50	0.0125827427947	0.07780079211816635	0.928,0.923,1.0	1.0,0.969,0.988	-0.035
