chr1	1058397	1058429	32
chr1	1064478	1064499	36
chr1	1074297	1074307	40
chr1	1116078	1116096	41
chr1	1190373	1190411	47
chr1	1283998	1284003	67
chr1	1387057	1387064	90
chr1	1421781	1421790	108
chr1	2050453	2050466	164
chr1	2428699	2428703	187
chr1	3747355	3747376	214
chr1	6358949	6358973	239
chr1	6419915	6419919	246
chr1	6424773	6424777	248
chr1	6519992	6520001	256
chr1	8861122	8861152	320
chr1	8868010	8868021	334
chr1	10460832	10460849	391
chr1	11664113	11664126	427
chr1	11858931	11858945	444
chr1	15974893	15974926	551
chr1	19087893	19087913	614
chr1	19339508	19339531	627
chr1	20119535	20119537	657
chr1	20484689	20484705	660
chr1	20661503	20661524	673
chr1	21239850	21239861	691
chr1	21262083	21262088	692
chr1	21606175	21606201	710
chr1	24319472	24319481	790
chr1	25483965	25483986	848
chr1	26281209	26281238	887
chr1	26317929	26317930	893
chr1	26354114	26354130	896
chr1	27307366	27307376	946
chr1	27343186	27343196	952
chr1	27356657	27356675	956
chr1	27356857	27356872	957
chr1	27635182	27635187	980
chr1	28538782	28538792	1033
chr1	28668808	28668828	1055
chr1	29181952	29181963	1083
chr1	30746027	30746035	1094
chr1	30746341	30746345	1098
chr1	30824228	30824247	1102
chr1	31666341	31666350	1128
chr1	31666470	31666481	1130
chr1	31669703	31669720	1134
chr1	31938344	31938364	1154
chr1	32201763	32201780	1184
chr1	32203961	32203982	1187
chr1	32680076	32680121	1225
chr1	32817554	32817580	1240
chr1	34755059	34755077	1270
chr1	34800541	34800562	1281
chr1	36397940	36397947	1381
chr1	37484119	37484136	1396
chr1	37808323	37808326	1413
chr1	38941784	38941794	1439
chr1	39902004	39902006	1476
chr1	40312597	40312631	1489
chr1	40373758	40373769	1492
chr1	40691755	40691771	1498
chr1	41551797	41551809	1523
chr1	41602608	41602651	1532
chr1	41616753	41616761	1550
chr1	42002387	42002391	1575
chr1	42153408	42153412	1576
chr1	42177041	42177057	1578
chr1	43622827	43622847	1654
chr1	43992182	43992200	1676
chr1	45614338	45614364	1760
chr1	46180373	46180377	1791
chr1	47067450	47067454	1821
chr1	50423439	50423459	1844
chr1	50424003	50424005	1845
chr1	53951895	53951902	1919
chr1	58575986	58576005	1975
chr1	58576070	58576081	1976
chr1	58781826	58781848	1997
chr1	59736106	59736114	2040
chr1	66330530	66330546	2126
chr1	67685328	67685344	2163
